,Agente1,Agente2,ClientesComun
0,7004,16483,50
1,16483,21856,46
2,17700,23944,34
3,16558,25272,30
4,17700,30621,26
5,8410,30621,25
6,15974,24377,25
7,7004,21626,24
8,16602,30621,21
9,6098,21662,20
10,14594,19574,18
11,8409,8464,16
12,13028,23623,16
13,15169,25957,14
14,16602,23944,14
15,6006,6527,14
16,7004,21856,14
17,8464,25957,13
18,15011,17636,13
19,14458,18944,13
20,3453,15400,13
21,22799,27141,13
22,17445,24427,13
23,16558,24427,13
24,4833,17700,13
25,8464,22909,12
26,8464,25272,12
27,13967,18023,12
28,9060,24427,12
29,28120,30427,11
30,16558,25403,10
31,3453,21623,10
32,8464,17445,10
33,14630,21124,10
34,6098,20564,10
35,21270,25272,10
36,20920,23743,10
37,29054,30292,10
38,16558,17445,10
39,4833,16602,10
40,15169,19731,9
41,8464,24427,9
42,15772,17423,9
43,6510,18434,9
44,2300,8464,9
45,8464,27032,9
46,17445,25272,9
47,8410,23944,8
48,10270,23623,8
49,6464,18700,8
50,16483,28006,8
51,16602,17700,8
52,26799,30621,8
53,16193,17416,8
54,17492,24095,8
55,16895,19389,8
56,18356,29054,8
57,15169,22909,8
58,7832,26689,8
59,17700,26799,8
60,14093,21185,8
61,11230,22300,8
62,964,8464,8
63,10068,23528,8
64,8464,28788,8
65,23944,30621,8
66,8409,15169,8
67,16240,24377,8
68,8556,18434,8
69,6510,29054,8
70,6510,30292,8
71,15169,25272,8
72,1736,6510,7
73,1736,24095,7
74,8409,16558,7
75,14506,21856,7
76,20920,22434,7
77,14143,18023,7
78,9060,25957,7
79,24095,27588,7
80,21236,30621,7
81,15768,22555,6
82,18408,19496,6
83,8464,19731,6
84,16558,27032,6
85,14867,21662,6
86,15805,20071,6
87,15086,17278,6
88,24377,26740,6
89,2820,4685,6
90,8556,9326,6
91,2420,14768,6
92,7004,19742,6
93,23182,24377,6
94,17445,18156,6
95,894,18309,6
96,24975,30621,6
97,6510,19536,6
98,8464,21890,6
99,14867,24377,6
100,6830,18408,6
101,14739,18478,6
102,10678,16032,6
103,22231,22408,6
104,9104,21465,6
105,6098,20718,6
106,15805,19537,6
107,18219,21662,6
108,6569,28109,5
109,10270,13028,5
110,15687,24924,5
111,12036,14571,5
112,20250,24828,5
113,14569,23614,5
114,8464,24555,5
115,7082,13329,5
116,18356,19538,5
117,15974,25983,5
118,18434,30292,5
119,17445,28788,5
120,8768,10917,5
121,15400,23905,5
122,4833,19742,5
123,8464,15610,5
124,16909,21249,5
125,21053,30621,5
126,8464,15169,5
127,19731,25957,5
128,17445,25957,5
129,15768,24377,5
130,11442,17416,5
131,18356,20428,5
132,9060,25272,5
133,17278,21311,5
134,3288,13326,5
135,15974,21662,5
136,17393,30427,5
137,6098,13792,5
138,23278,23623,4
139,1859,20239,4
140,19416,22848,4
141,22286,23595,4
142,1163,14143,4
143,10674,24095,4
144,11624,22380,4
145,15610,24427,4
146,10268,15086,4
147,17676,23022,4
148,23031,30575,4
149,19921,24184,4
150,22290,30292,4
151,1237,24828,4
152,23826,27032,4
153,6510,28210,4
154,15400,26887,4
155,11624,22369,4
156,9245,9911,4
157,6464,17278,4
158,6098,15612,4
159,15086,21337,4
160,20093,24095,4
161,15768,25142,4
162,17278,24095,4
163,19119,30037,4
164,11230,20515,4
165,23944,26799,4
166,19731,25272,4
167,15141,19294,4
168,21572,23402,4
169,15610,25957,4
170,19063,23296,4
171,16240,26740,4
172,17840,30621,4
173,21624,30621,4
174,21270,27032,4
175,12016,19416,4
176,18735,20684,4
177,6510,20250,4
178,14615,22328,4
179,10494,20920,4
180,2,13388,4
181,17445,26644,4
182,23017,23025,4
183,17445,24555,4
184,7753,18735,4
185,24424,26993,4
186,8556,28210,4
187,3375,20920,4
188,343,17447,4
189,6510,23755,4
190,15174,21861,4
191,17278,30292,4
192,13823,24492,4
193,3215,27588,4
194,17123,25393,4
195,22928,23623,4
196,14095,30621,4
197,19537,31249,4
198,17278,20728,4
199,8464,26644,4
200,16558,22909,4
201,14842,16555,4
202,19119,19404,4
203,15676,29148,4
204,5803,22844,4
205,25324,27659,4
206,15830,21254,4
207,7004,17840,4
208,14629,24377,4
209,15169,26644,4
210,8687,16895,4
211,12632,30427,4
212,4938,17278,4
213,20736,26543,4
214,2186,2820,4
215,23826,25957,4
216,6510,20728,4
217,20728,29054,4
218,3288,20250,4
219,11026,16240,4
220,16442,21662,4
221,4833,21236,4
222,18434,24095,4
223,16602,24975,4
224,4885,25393,4
225,16558,24555,4
226,20250,28476,4
227,6569,22721,4
228,6098,10719,4
229,11026,15974,4
230,14842,18356,4
231,23623,23755,4
232,10268,17278,4
233,24095,24476,4
234,11026,24377,4
235,343,15398,4
236,16558,28788,4
237,9174,15398,4
238,24804,26434,4
239,15677,18865,4
240,18356,23052,4
241,6098,15676,4
242,23054,25288,4
243,14959,20728,4
244,21624,26799,4
245,26799,30351,4
246,12506,17278,4
247,5877,25480,4
248,11950,29054,4
249,20414,24424,4
250,13761,16783,4
251,9326,28476,4
252,18408,20932,4
253,18804,19119,4
254,6510,18945,4
255,2214,16895,4
256,18023,20515,4
257,4885,26975,4
258,19536,28210,4
259,21890,22909,4
260,14144,18023,4
261,5536,22848,4
262,18700,19536,4
263,8556,23278,4
264,23580,24042,4
265,10842,26645,4
266,16684,21603,4
267,967,18731,4
268,12627,30427,4
269,6510,11618,4
270,14594,18548,4
271,1722,22056,4
272,13042,29657,4
273,8556,18356,4
274,8409,21269,3
275,20718,25466,3
276,12969,14624,3
277,10923,11950,3
278,21152,24924,3
279,14569,30621,3
280,15173,20718,3
281,16602,19323,3
282,6006,18804,3
283,11026,15873,3
284,8464,18156,3
285,16179,17817,3
286,1722,11462,3
287,15974,19710,3
288,13841,17416,3
289,8556,21311,3
290,2833,8506,3
291,14095,23944,3
292,16555,29054,3
293,18926,21905,3
294,18874,25957,3
295,22290,24828,3
296,4833,8410,3
297,21269,25272,3
298,19536,21572,3
299,20053,26740,3
300,19741,30621,3
301,5763,11026,3
302,6098,14801,3
303,17895,23790,3
304,10215,13823,3
305,16558,21270,3
306,6510,19003,3
307,10626,17416,3
308,18700,19711,3
309,10494,19416,3
310,14143,24924,3
311,16442,21603,3
312,15071,24397,3
313,6510,11018,3
314,15086,18356,3
315,18354,18804,3
316,6510,14292,3
317,2760,12611,3
318,13823,23771,3
319,12325,21465,3
320,17700,24975,3
321,14117,21064,3
322,3206,25491,3
323,7004,8843,3
324,1722,22047,3
325,8351,13773,3
326,19741,23944,3
327,9060,15169,3
328,14630,20920,3
329,7345,24861,3
330,21625,23944,3
331,18156,22807,3
332,18595,29054,3
333,1736,24828,3
334,9572,11350,3
335,3206,28788,3
336,16510,20552,3
337,8464,16558,3
338,2,21005,3
339,1736,11088,3
340,18851,25333,3
341,20095,22454,3
342,2050,24390,3
343,6135,7588,3
344,14506,30621,3
345,1736,10268,3
346,21624,24975,3
347,12752,14843,3
348,18023,24924,3
349,6527,21168,3
350,9915,20920,3
351,1163,15687,3
352,20515,24924,3
353,8464,18874,3
354,12274,24638,3
355,6098,29148,3
356,13455,17999,3
357,20768,26932,3
358,9060,28788,3
359,11207,17812,3
360,12967,17587,3
361,19144,27739,3
362,21543,29054,3
363,10241,21553,3
364,8556,18945,3
365,14402,22780,3
366,19731,24427,3
367,6569,22328,3
368,15768,26543,3
369,15086,15142,3
370,1610,20375,3
371,10608,24257,3
372,8506,24493,3
373,21127,28788,3
374,3206,24427,3
375,19741,23614,3
376,15140,27791,3
377,18219,24377,3
378,4833,21624,3
379,8605,18804,3
